mediaR,mediaG,mediaB,desvR,desvG,desvB,energia,contraste,varianza,clasificador
medio,medio,medio,alto,medio,medio,bajo,bajo,alto,incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,medio,no incendio
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,bajo,humo
alto,medio,bajo,medio,medio,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
alto,medio,bajo,medio,medio,medio,bajo,bajo,medio,incendio
medio,medio,medio,medio,medio,medio,bajo,bajo,bajo,no incendio
medio,medio,medio,medio,medio,medio,bajo,bajo,bajo,humo
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,alto,no incendio
medio,medio,bajo,alto,medio,medio,medio,bajo,bajo,humo
alto,medio,medio,alto,alto,alto,bajo,bajo,alto,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,medio,humo
alto,medio,medio,bajo,bajo,bajo,bajo,bajo,bajo,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,humo
alto,medio,medio,medio,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
medio,medio,medio,alto,medio,medio,bajo,bajo,alto,incendio
medio,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,no incendio
medio,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
medio,medio,medio,alto,medio,medio,bajo,bajo,medio,incendio
medio,medio,medio,medio,medio,medio,bajo,medio,bajo,no incendio
medio,medio,medio,bajo,bajo,medio,medio,bajo,medio,humo
alto,medio,bajo,alto,medio,medio,bajo,bajo,medio,incendio
medio,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
medio,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,humo
medio,bajo,bajo,alto,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,humo
alto,medio,alto,medio,medio,bajo,bajo,bajo,bajo,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,medio,no incendio
medio,medio,medio,medio,medio,medio,medio,bajo,bajo,humo
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,medio,humo
alto,alto,medio,medio,medio,bajo,bajo,bajo,bajo,incendio
medio,medio,medio,bajo,bajo,bajo,bajo,bajo,medio,no incendio
medio,medio,medio,medio,medio,medio,bajo,medio,bajo,humo
medio,bajo,bajo,alto,alto,bajo,bajo,bajo,alto,incendio
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,bajo,no incendio
bajo,bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,humo
alto,medio,medio,medio,bajo,bajo,bajo,medio,bajo,incendio
medio,medio,bajo,medio,medio,bajo,bajo,bajo,bajo,no incendio
medio,medio,bajo,medio,medio,medio,bajo,bajo,medio,humo
medio,bajo,bajo,alto,medio,bajo,bajo,bajo,medio,incendio
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,medio,humo
alto,alto,medio,medio,alto,alto,bajo,bajo,alto,incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,no incendio
bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,bajo,humo
