@relation datos-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C1-K5-P50.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P50.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P50.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P50.0-S1-weka.filters.supervised.instance.SMOTE-C1-K5-P50.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F3

@attribute mediaR {medio,bajo,alto}
@attribute mediaG {medio,bajo,alto}
@attribute mediaB {medio,bajo,alto}
@attribute desvR {alto,medio,bajo}
@attribute desvG {medio,bajo,alto}
@attribute desvB {medio,bajo,alto}
@attribute energia {bajo,medio,alto}
@attribute contraste {bajo,medio,alto}
@attribute varianza {alto,medio,bajo}
@attribute clasificador {incendio,'no incendio',humo}

@data
medio,medio,bajo,medio,medio,medio,bajo,bajo,bajo,'no incendio'
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,'no incendio'
bajo,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,'no incendio'
medio,medio,bajo,medio,medio,medio,bajo,medio,bajo,'no incendio'
bajo,bajo,bajo,bajo,bajo,bajo,bajo,alto,bajo,'no incendio'
bajo,bajo,bajo,medio,bajo,bajo,bajo,bajo,bajo,'no incendio'
bajo,bajo,bajo,medio,bajo,bajo,bajo,alto,bajo,'no incendio'
medio,bajo,bajo,bajo,bajo,bajo,bajo,medio,bajo,'no incendio'
bajo,bajo,bajo,medio,medio,bajo,bajo,bajo,medio,'no incendio'
bajo,bajo,bajo,medio,bajo,bajo,bajo,medio,bajo,'no incendio'
bajo,bajo,bajo,medio,medio,medio,bajo,medio,bajo,'no incendio'
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,'no incendio'
bajo,bajo,bajo,medio,medio,medio,bajo,alto,bajo,'no incendio'
bajo,bajo,bajo,medio,medio,medio,bajo,bajo,medio,'no incendio'
