@relation iris-weka.filters.supervised.instance.SMOTE-C1-K5-P300.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P300.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P300.0-S1-weka.filters.supervised.instance.Resample-B0.0-S42-Z100.0-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
4.832085,3.1,1.571156,0.113357,Iris-setosa
5.005153,3.5,1.329076,0.241735,Iris-setosa
4.6,3.202427,1.361604,0.2,Iris-setosa
5.1,3.8,1.785306,0.36658,Iris-setosa
5.758349,4.018002,1.41445,0.313816,Iris-setosa
4.638941,3.104507,1.354814,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5,3.4,1.6,0.4,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.775889,3.066961,1.420993,0.299924,Iris-setosa
5,3.327483,1.216103,0.228643,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
5.717031,3.879617,1.518973,0.230337,Iris-setosa
5,3.409965,1.555165,0.283129,Iris-setosa
4.726217,3.160629,1.6,0.2,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa
5,3.5,1.6,0.6,Iris-setosa
5.377453,3.5,1.31486,0.2,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
4.6,3.146335,1.466639,0.2,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
5.560917,4.067014,1.315872,0.2,Iris-setosa
5.051891,3.31315,1.689118,0.589324,Iris-setosa
5.069024,3.770335,1.518449,0.2,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
4.8,3.051706,1.459098,0.244004,Iris-setosa
5.717031,3.879617,1.518973,0.230337,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
4.6,3.390277,1.4,0.227001,Iris-setosa
5,3.330067,1.468439,0.2,Iris-setosa
5.564039,4.316765,1.484378,0.302231,Iris-setosa
5.263177,3.5,1.483574,0.2,Iris-setosa
4.4,3.02024,1.3,0.2,Iris-setosa
4.6,3.269137,1.4,0.27341,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
5.1,3.791728,1.425308,0.3,Iris-setosa
4.762779,3.296153,1.839384,0.2,Iris-setosa
5,3.302759,1.478278,0.2,Iris-setosa
4.6,3.269137,1.4,0.27341,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
5.051291,3.591396,1.4,0.2,Iris-setosa
4.8,3.137413,1.776268,0.2,Iris-setosa
4.9,3.03575,1.4455,0.118484,Iris-setosa
5.2,3.456587,1.422265,0.2,Iris-setosa
4.822035,3.002766,1.6,0.2,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
5.1,3.312987,1.566077,0.344688,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
5,3.2,1.2,0.2,Iris-setosa
5.176989,3.79291,1.558989,0.2,Iris-setosa
5.518423,4.285293,1.421028,0.367972,Iris-setosa
4.913003,3.4,1.510369,0.2,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
4.528892,3.111193,1.150059,0.192028,Iris-setosa
4.830695,3.1,1.576093,0.152795,Iris-setosa
5.176989,3.79291,1.558989,0.2,Iris-setosa
5.094369,3.49345,1.565322,0.383444,Iris-setosa
5.1,3.8,1.583738,0.213909,Iris-setosa
4.633476,2.416293,1.327796,0.104971,Iris-setosa
5.427912,3.477681,1.460977,0.281526,Iris-setosa
5,3.330067,1.468439,0.2,Iris-setosa
4.48571,3.311135,1.361628,0.24379,Iris-setosa
5.1,3.8,1.583738,0.213909,Iris-setosa
4.633476,2.416293,1.327796,0.104971,Iris-setosa
5.71429,2.655567,4.123257,1.24379,Iris-versicolor
5.735209,2.586478,3.973121,1.112309,Iris-versicolor
6.212808,3.024147,4.545022,1.499515,Iris-versicolor
5.682969,2.839809,3.918973,1.3,Iris-versicolor
5.759388,2.832986,3.773809,1.24786,Iris-versicolor
6.789544,3.041351,4.953439,1.566225,Iris-versicolor
6.777349,2.89563,4.69154,1.386245,Iris-versicolor
5,2.3,3.3,1,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor
5.724111,3,4.2,1.200227,Iris-versicolor
6.257485,2.20182,4.538396,1.5,Iris-versicolor
5.523316,2.477982,3.996167,1.181524,Iris-versicolor
5.453358,2.974178,4.5,1.463936,Iris-versicolor
5.763828,2.212557,3.890555,1.007541,Iris-versicolor
5.775158,2.25358,3.81043,1.037365,Iris-versicolor
6.328892,2.844403,4.67497,1.492028,Iris-versicolor
6.026791,2.9,4.349307,1.354003,Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor
5.523316,2.477982,3.996167,1.181524,Iris-versicolor
6.789544,3.041351,4.953439,1.566225,Iris-versicolor
6.7,3.1,4.62104,1.427646,Iris-versicolor
5.8,2.617883,3.951604,1.2,Iris-versicolor
5.778389,3,4.345521,1.5,Iris-versicolor
5.558746,2.562696,3.696906,1.087025,Iris-versicolor
5.909658,3.228871,4.637839,1.698271,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
5.7,2.81631,4.308751,1.3,Iris-versicolor
5.647566,2.521258,3.69317,1,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
5.669024,2.870335,4.2,1.3,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
